,作者,文章名称,关键词,摘要,发表位置,时间,单位或其他,下载量,被引量
0,刘杰,北京大气污染物时空变化规律及评价预测模型研究,"大气污染物
/
评价
/
预测
/
时空变化","本论文的研究内容来源于北京市属高等学校高层次人才引进与培养——“长城学者”计划项目(项目编号：CITTCD20130320)：《基于无线传感器网络的城市空气环境参数实时监测系统研究》。

	当前北京面临着较为严重的空气质量问题,而以颗粒物为主的大气污染物则是导致城市污染加剧的关键因素。掌握大气污染物的污染水平及变化规律,探索合理的城市空气质量评价和预测方法,分析污染物的时空变化特征,对于揭示北京市空气质量的演变规律、控制城市大气污染有重要的科学意义。本文以北京市主要大气污染物为研究对象,将研究尺度划分为区域大环境和小气候微环境,研究周期划分为2013年3月～2014年2月的不同季节和时段,深入、系统地进行了大气污染物质量浓度变化的数据挖掘分析和理化实验研究。论文的主要研究工作包括：

	(1)分析了当前北京市主要大气污染物的变化规律和相互影响程度。构建了多点位、完整时间序列的颗粒物质量浓度数据资料,并应用数理统计分析的手段,对当前北京城六区主要大气污染物质量浓度的频数分布、相关性和逐时变化特征进行分析,研究得出了当前北京主要大气污染物不同季节的污染水平、变化规律、小时及日变化特征。

	(2)从分类和聚类角度出发,发展并完善了城市空气质量综合评价方法。以AQI单指标评价体系和数据挖掘理论为基础,利用改进的聚类算法、BP和RBF神经网络等数据挖掘理论及算法进行综合评价,得出了当前北京市空气质量的综合评价结果,通过分析并对比各评价结果的异同,探索了以人体健康为核心的综合评价指标。

	(3)改进了城市大气污染物质量浓度预测模型并提出了新的建模方法。对基于气象因素的机理性建模方法进行了输入因子改进,根据多元线性回归、BP神经网络和支持向量机的建模效果对预测模型进行了优选。提出模糊时序与支持向量机相结合的非机理性建模方式,解决了机理性建模方式中由于影响因素考虑不全而造成的预测结果不稳定。

	(4)探明了大气颗粒物在北京的时空分布特征。通过颗粒物质量浓度随时间尺度的变化及区域分布污染特征,应用一种便捷、有效的高维空间插值算法,绘制了当前北京地区大气颗粒物平均质量浓度的插值模拟图,模拟颗粒物空间分布及局部污染特征,验证了插值算法的准确性,并在此基础上分析和探讨颗粒物可能的影响因素及污染来源。

	(5)对微环境下大气颗粒物室内外垂直变化规律进行研究并开展了理化特性实验。讨论不同粒径大气颗粒物随高度的变化规律及室内外相互关系,分析其污染水平和渗透率。通过电子显微镜形貌观察对颗粒物进行分类,利用EDX能谱分析对化学元素进行分析,并在此基础上利用富集分析和聚类分析,鉴别颗粒物的污染来源贡献程度及其可能的化学组分。",《北京科技大学》,2015年,【学位授予单位】：北京科技大学【学位级别】：博士【学位授予年份】：2015【分类号】：X51;X823,7935.0,72.0
1,冯贵霞,中国大气污染防治政策变迁的逻辑,"大气污染防治
/
政策变迁
/
政策网络
/
政策工具","近年来,中国城市空气质量成为备受社会关注的焦点,大范围持续的重度雾霾天气严重影响了经济社会正常秩序,危及公众健康安全,国内外反应强烈。自20世纪70年代以来,中国加强环保工作,出台一系列大气污染防治措施并取得一定效果,防治政策经历各种改革、调整与完善。虽然空气质量总体上有所改善,污染形势得到一定程度遏制,但从总体来看,空气污染的区域性特征日益明显,空气质量与公众期盼有较大差距,仍未走出“先污染后治理”的困境,治理成效并不显著。当前情况不禁让人反思：中国大气污染防治工作自1973年正式启动至今,己积累了四十多年的防治经验,同时,随着大气污染形势的加剧,各级政府高度重视,持续强化推进一系列政策措施,为什么治理效果却差强人意?这是否从某种程度上说明当前中国的污染防治政策难以满足大气环境治理的现实需要?那么,什么样的政策才能更好地推动大气污染防治?因此,总结大气污染防治的政策经验,寻找影响政策变迁的关键因素,探索污染防治政策运行的规律就具有极强的现实意义。为辨识中国大气污染防治政策变迁的影响因素,进而探寻政策变迁背后的过程逻辑,本研究基于历史和现实相结合的角度,运用文献分析、案例分析、历史与逻辑统一的方法,结合政策网络理论分析框架,剖析中国大气污染防治政策变迁过程。本研究首先立足于政策发展的历史事实,在界定大气污染防治政策内涵、明确政策变迁研究对象的基础上,通过梳理建国以来中国大气污染防治政策的演进历程,总结政策变化所呈现的表面特征,发现：经历了以工业点源污染为主的行政控制(1956-1978年)、开启法制途径下的管控(1979-1991年)、引入市场机制的管控(1992-2002年)、尝试突破属地模式的综合治理(2003-2010年)、走向法治化的合作治理(2010年至今)等五个阶段,中国大气污染防治政策变迁在整体上呈现“阶梯式渐进”的轨迹,具体表现为,政策主体多元化、政策工具规范化、社会行动网络化等特征,为下一步寻找政策变迁的影响因素提供历史线索和现实基础。仅靠历史沿革的分析无法得出政策变迁的规律,因此需要找到适于解释政策变迁过程的理论视角。从已有研究看,政策变迁的研究无疑是多视角、多途径的。然而,在当代社会结构转型背景下,各种复杂的跨部门的公共政策议程大量涌现,政策过程中组织与参与者数目增多、行动主体多元化,政策部门间的相似性减少,利益团体和政策执行机构间的长期联系逐渐演化为多元组织之间更为复杂的网络关系,公共问题变得更加难以处理。中国目前正处于社会转型和市场经济体制转轨的关键时期,利益主体的多元化也使政策过程参与者增多,中国的政策过程同样面临着复杂多变的趋势。传统的政策阶段论及其单一的线性模型越来越无法清晰完整地描述和解释复杂多变的政策过程。已有研究表明,政策网络理论以行动者关系与结构为切入点去审视和诠释政策过程,尝试突破政策阶段论的范式,对多元主体参与政策过程的研究具有很强的描述功能和独特的理论分析优势。政策网络目前已成为政治学和政策研究中广泛使用的一种分析路径,为越来越多的国内外学者所运用。此外,大气污染防治政策过程既充满了跨部门跨区域的决策事件,又不可避免地涉及多元利益主体。综合以上考虑,本研究认为,政策网络是研究政策变迁过程的最佳的理论视角。本研究结合中国情境,对缘起于西方发达国家的政策网络理论要素进行了适度改造,将政策网络的结构观和行为观相结合,在新制度主义理论和吉登斯的结构化理论的指导下,得出政策变迁的“结构—行为”观,并以此为理论基础建构了大气污染防治政策变迁的解释框架,用以分析中国大气污染防治政策网络内行动者的互动关系。借鉴政策网络分析框架发现,大气污染防治政策变迁与政策网络结构、网络主体行为的变化相关,其中变化的关键影响因素主要涉及网络权力结构、政企策略行为、以公众参与网络为主要表现形式的社会资本。这些因素的变化引起了政策网络结构的变化和网络主体间不同程度的互动,从而影响着政策运行的轨迹。从政策网络权力结构看,与西方国家不同,中国始终存在政策网络权力中心,并在大气污染防治政策网络中居于主导地位。纵横交错的政府行政关系形成了矩阵式权力网络结构,环保行政职权面临“碎片化”的问题。国家环保部的决策地位及其话语权的权威性增长,一定程度上改变了权力分配格局,促使政策网络主体之间的关系及行为方式发生转变,从而推动政策变迁的过程。从政企策略行为看,地方政府与企业是大气污染防治政策执行的责任主体,其政策响应行为直接关系污染防治的政策效果,其互动关系的变化是影响政策过程运行的关键因素。为了实现自身利益的最大化,地方政府与企业都会从所处的环境出发选择最适合自身的策略行为。利益需要产生行为偏差,大气污染防治政策及其实施工具也因此不断的调整和改变。环境规制的转型是为了更好地促进地方政府与企业的良性互动。从社会资本因素看,作为政策网络的资源集合体,社会资本是公共政策运行的重要影响因素。政策网络行动者之间关系的变化以及互动行为的变化使社会资本存量发生改变,社会资源在政策网络内的重新分配改变了政策网络的结构。在大气污染防治政策网络中,专家、媒体、公众因对社会资本的运用而改变了自身在政策网络结构中的位置,具体体现为他们在环保维权行动中的角色转型。专家、媒体、公众之间的互动以及政府的回应表明,网络行动主体以建构社会资本从而塑造公共议题为主要方式推进政策变迁。大气污染防治政策变迁实际上是政策网络中的社会资本结构不平衡所引发。本研究最终得出以下结论：第一,中国大气污染防治政策演进历程实际上是中国环境治理结构转型的过程,同时也是政策网络因素作用于政策过程的体现。第二,大气污染防治政策变迁主要存在三重逻辑趋向。从“政府-市场”到合作治理的演变过程,是政策网络主体多元化的体现；从行政控制、“法制”到“法治”的演变过程,不仅是政策工具规范化的体现,而且是政策网络制度逐渐走向成熟的标志；从“权威-服从／对抗”走向共同监管的演变过程,是社会行动主体之间互动方式转型的表现,社会行动的网络化改变了大气污染防治政策网络运行的社会环境。第三,政策网络与政策变迁是相互作用的关系,政策网络有助于制定更好的环保政策。政策网络权力结构的变化促进政策变迁,政策变迁是权力结构间断均衡的反映；政策变迁是政策网络行动者互动行为规则的调整；社会资本存量影响政策变迁的价值取向。此外,在政策变迁的研究中,政策网络理论最大的优点在于,能更好地描述和解释多元行动者参与的复杂的政策变迁过程,追踪政策变迁的根源性影响因素。它的局限性是,在实际分析中无法完全脱离政策过程阶段论的束缚；在政策变迁纵向层面的问题研究中,政策网络理论的解释力不足,很难对政策行动者进行历史追踪式的对比分析。大气污染防治亟需加强顶层制度设计,而政策设计是进行制度设计的重要路径。因此,通过辨识大气污染防治政策变迁的影响因素,寻找这一政策变迁背后的过程逻辑,就成为下一步有效推进大气污染防治政策的关键所在。本研究基于中国大气污染防治政策演进的历史事实,总结其阶段性特征,通过借鉴政策网络的理论内涵、研究途径及方法,分析影响政策变迁的关键因素,进而尝试得出政策变迁的内在逻辑及其发展趋向,以期为大气污染防治机制和治理模式的研究提供基础的理论支持。这不仅有利于反思中国大气污染防治工作和完善相关政策制定,而且有助于总结环境污染防治政策变迁的经验教训和积累中国政策变迁的理论知识,推进政策变迁理论研究的本土化过程。",《山东大学》,2016年,【学位授予单位】：山东大学【学位级别】：博士【学位授予年份】：2016【分类号】：D63;X51,5516.0,36.0
2,李雪松/孙博文,大气污染治理的经济属性及政策演进:一个分析框架,"大气污染
/
协同治理
/
协同机制
/
污染治理模式","复合型、区域性大气污染是我国面临的主要大气污染问题,既存的强调单一目标污染物末端治理、区域大气污染属地治理以及公众参与机制匮乏的大气污染治理机制亟待完善。现阶段,治理大气污染应构建包括目标协同、政策协同、主体协同、区域协同、技术协同在内的五大协同机制。从具体策略来看,要调整大气污染物控制战略,完善大气污染综合治理政策体系;完善大气污染评价制度,建立科学的大气质量标准体系;加强大气污染防治法律法规建设,强化惩罚和监督力度;完善信息公开制度,提高公民参与积极性;创新大气污染治理的融资模式,拓展融资渠道。",《改革》,2014年04期,"【作者单位】：
                武汉大学经济与管理学院;武汉大学水研究院;  【基金】：国家社会科学基金项目“农村水环境问题的经济机理分析与管理创新制度研究”(批准号:10BJY064)  
教育部人文社会科学规划项目“农村水环境污染的经济学分析与防治机制研究——以江汉平原为例”(批准号:09YJA790159)  【分类号】：X51",3464.0,56.0
3,李山泉/杨金玲/阮心玲/张甘霖,南京市大气沉降中重金属特征及对土壤环境的影响,"大气沉降
/
重金属
/
土壤
/
富集系数","为明确城市大气重金属沉降对土壤环境的影响,在对南京市6个典型城市功能区连续4a大气(干、湿)沉降中重金属(Cu、Zn、Pb、Cr、Ni)含量、通量、时空变异等方面研究的基础上,结合不同功能区表土重金属含量与土壤剖面206Pb/207Pb特征,分析其在城市土壤的累积特征.研究显示,Cu、Zn和Pb在大气沉降中强烈富集,其中又以Cu和Pb为潜在生态危害的关键元素.大气沉降导致除在相对未受城市人为活动影响的风景区外各功能区表土重金属均有明显富集,这种富集受大气沉降重金属含量和沉降量的共同影响.土壤累积模式预测钢铁工业区表土受大气重金属沉降影响的长期累积增量最大,以Zn和Pb最明显.钢铁工业区土壤剖面Pb含量和同位素特征显示表层20cm土体受大气沉降影响明显,206Pb/207Pb二元模型与预测模式对定量大气Pb沉降的土壤影响结果较一致,表明土壤中某些重金属的累积与大气沉降密切相关.",《中国环境科学》,2014年01期,"【作者单位】：
                中国科学院南京土壤研究所  土壤与农业可持续发展国家重点实验室;中国科学院大学;  【基金】：国家自然科学基金(41071142,40625001)  
江苏省自然基金(BK2007265)  【分类号】：X513",3037.0,104.0
4,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,杨超,中国大气污染治理政策分析,"大气污染
/
治理政策
/
政策分析","大气污染是对人类生存影响最大的环境问题之一,也是粗放型的经济发展方式所带来的必然结果。2010年以来,中国的大气污染问题日益严峻,出现严重的雾霾天气,对正常的社会生产生活秩序造成很大的影响,也对人体健康造成了严重影响。这使大气污染受到了全社会的高度重视。中国大气污染治理开始于20世纪70年代。经过多年的治理实践,已形成相对完善的治理政策体系,对改善大气环境质量和防止大气环境进一步恶化起到一定的作用,但政策绩效并不明显。怎样通过政策的完善和创新来提升政策绩效,是当前大气污染治理急需解决的问题。本文分析了中国大气污染现状、成因,研究了大气污染治理政策变迁轨迹、现状及问题,介绍了国外大气污染治理政策经验及启示,并对政策改进和创新提出建议。首先,本文从大气污染的概念入手,介绍了大气污染物主要来源及对人体健康、生态系统和社会生产生活秩序的危害。以2013年大气污染相关数据为基础,分析了中国大气污染的现状以及特点。其次,从环境政策学的角度,遵循环境政策分析的一般模式,梳理中国大气污染治理政策的发展历史,研究当前中国大气污染治理的政策目标、政策体系、政策手段、管理体系等,并对现有政策进行分析和评估。第三,分析了美、英、日三国大气污染治理的先进经验以及对于完善中国大气污染治理的借鉴意义。最后,提出从治理政策目标、体系、工具、决策体系、管理体系及评估机制六方面完善中国大气污染治理和政策创新的建议。",《长安大学》,2015年,【学位授予单位】：长安大学【学位级别】：硕士【学位授予年份】：2015【分类号】：X51,4343.0,23.0
6,汪克亮/孟祥瑞/杨宝臣/程云鹤,技术异质下中国大气污染排放效率的区域差异与影响因素,"大气污染排放效率
/
技术异质性
/
影响因素
/
共同前沿","近年来中国雾霾天气的频繁发生给人们的生产、生活以及身体健康构成巨大威胁。提高大气污染排放效率,深入挖掘大气污染减排潜力是改善中国大气环境质量,减少和消除雾霾天气发生的重要途径。本文根据生态效率理论,充分考虑到不同区域发展的不平衡因素与技术异质性特征,在共同前沿方法框架下科学测算2006—2014年间中国30个省份的大气污染排放效率,在此基础上分析效率的区域差异,利用""技术差距比(TGR)""这一指标衡量东部、中部与西部三大区域之间大气污染排放技术的差距,并从""技术""与""管理""两个维度进一步将各省份大气污染排放无效率分解为""技术差距无效率(TGI)""与""管理无效率(GMI)"",以此定位各省份大气污染防治的薄弱环节,进而构建策略矩阵,将全国各省份归入四个不同排放效率特征的方阵,并给出相应的优化路径与措施;深入揭示大气污染排放效率与排放强度之间的内在联系,提出""大气污染排放强度效率""这一全新概念并考察其演化趋势;利用面板Tobit回归模型检验影响我国省际大气污染排放效率与排放技术的外部环境因素。实证结果表明:1中国大气污染排放效率整体水平偏低,年均仅为0.493,污染减排潜力巨大;2中国大气污染排放效率与排放技术的地区差异显著,无论是大气污染排放效率还是排放技术水平,东部地区都是明显高于中部与西部地区;3中国大气污染的实际排放强度明显高于潜在排放强度,这表明大气污染排放强度还存在很大的改进空间;4经济发展、产业结构升级与科技创新对大气污染排放效率与排放技术的提升均有显著促进作用,煤炭消费比重上升与人口密度过大则对其有显著抑制作用;5本文的研究结论支持""波特假说""与""污染避难所""假说。",《中国人口·资源与环境》,2017年01期,"【作者单位】：
                安徽理工大学经济与管理学院;天津大学管理与经济学部;  【基金】：国家自然科学基金青年项目“生产网络化与技术异质性下的区域节能减排效率评价及政策优化研究”(批准号:71403003)  
教育部人文社会科学研究青年基金项目“节能减排效率视角下我国省区低碳经济评价与政策优化仿真研究”(批准号:13YJC790136)  
安徽省高校优秀青年人才支持计划重点项目“效率分析视角下我国大气污染排放绩效测度、影响因素与治理政策研究”(批准号:gxyq ZD2016075)  【分类号】：X51",1417.0,37.0
7,刘佳/王利民/杨玲波/滕飞/邵杰/杨福刚/富长虹,基于6S模型的GF-1卫星影像大气校正及效果,"卫星
/
遥感
/
反射
/
高分一号","高分一号(GF-1)卫星是中国高分系列卫星的首发星,自2013年4月成功发射以来,在中国农业遥感业务工作中得到了广泛应用,已成为中国大宗农作物种植面积遥感监测的主要数据源。该文基于6S(second simulation of a satellite signal in the solar spectrum)辐射传输模型原理,设计并实现了适合于GF-1卫星数据大气校正算法与程序。算法以GF-1卫星1级数据、元数据及传感器公开参数为输入数据,不需要其他外源辅助数据,经过辐射定标,计算各波段平均太阳辐射值、表观反射率,通过选择大气模式,驱动6S模型获取表观反射率转换为地表反射率的参数,逐像元计算影像地表反射率。在算法研制的基础上,应用Fortran和IDL语言编写了大气校正批处理程序,实现了大气校正过程的批处理。该文采用2014年4月3日、6月28日、11月2日,以及2015年1月19日4个时相北京地区GF1卫星WFV(wide field view)数据,分别代表春夏秋冬4个季节,通过与ENVI软件的FLAASH(fast line-of-sight atmospheric analysis of spectral hypercubes)大气校正结果对比进行评估。2种方法 4个时相各波段全年相对偏差为3.26%,蓝光波段偏差最大为11.21%,其次是红、近红和绿光波段,分别为1.19%、0.73%和0.24%。作物覆盖区平均相对误差为12.99%,冬季最高为17.40%,秋季和春季分别为15.02%和14.15%,夏季相对差异最小为8.31%。各波段地表反射率的整体校正情况并未有太大差异,但6S校正后各波段反射率普遍比FLAASH校正结果略微偏高。2种校正结果计算的NDVI也基本一致,相对偏差0.64%;除水体外,绝对值差值的平均值均在0.0548以内。从计算效率来分析,6S模块实现了商用软件FLAASH模块中未提供的批量计算,在相同硬件环境下计算效率提高了75.0%以上。研究结果表明了该文开发的大气校正程序能够稳定批量处理GF-1卫星数据,可以作为农业遥感监测业务流程的组成部分。",《农业工程学报》,2015年19期,"【作者单位】：
                中国农业科学院农业资源与农业区划研究所;  【基金】：高分辨率对地观测系统重大专项“高分农业遥感监测与评价示范系统(一期)”  【分类号】：S127",1352.0,50.0
8,王跃思/张军科/王莉莉/胡波/唐贵谦/刘子锐/孙扬/吉东生,京津冀区域大气霾污染研究意义、现状及展望,"霾污染
/
PM_(2.5)
/
大气环境","频发的霾污染是目前京津冀最严重的环境问题。如何协调区域经济合理快速发展与防止大气环境恶化,已经成为公众关注的焦点,也是各级政府亟待解决的问题之一。对国内外典型大气污染事件的产生及治理历程进行了简要回顾;结合我国当前霾污染问题产生的特殊性,分析了京津冀区域霾污染研究对经济和社会发展、气候和环境变化、人体健康和区域和谐发展的现实意义;阐述了京津冀霾污染现象频发的主要客观要素和内在原因,并分析了当前研究工作中的不足。最后,在全球气候变化的大背景下,推测了京津冀及东亚地区未来大气污染的发展趋势。",《地球科学进展》,2014年03期,"【作者单位】：
                中国科学院大气物理研究所大气边界层物理与大气化学国家重点实验室;  【基金】：中国科学院战略性先导科技专项“大气灰霾溯源”(编号:XDB05020000)  

国家自然科学基金重点项目“京津冀城市群大气霾污染形成机制及调控原理研究”(编号:41230642)资助  【分类号】：X513",4657.0,193.0
9,贾琳琳,北方寒冷地区大气颗粒物污染特征及源解析研究,"大气颗粒物
/
化学组成分析
/
源解析
/
主成分分析","大气PM10已成为大气环境污染中的首要污染物之一，新修订《环境空气质量标准》中将大气PM2.5列入其中。而我国北方城市，寒冷期存在时间长，其特殊的地理环境和气候条件决定特殊大气环境污染特征。

	本研究在基于哈尔滨市能源结构、人口特点、气象条件和城市化发展进程的基础上，重点监测和分析了大气PM2.5和PM10质量浓度和化学组成成分，并采用颗粒物显微观察、富集因子法、因子分析法等方法共同对不同天气形势下大气颗粒物污染来源进行解析，源解析结果作为哈尔滨市大气颗粒物污染防治对策的依据，提出科学的、合理的、利于开展的、可操作性高的防治措施，为有效控制哈尔滨市大气颗粒物污染提供理论和数据支持，对改善哈尔滨市大气环境有重要指导意义。

	本研究采集大气PM2.5和PM10，对从2013年7月-2014年5月所采集的两种颗粒物的质量浓度、水溶性离子、无机元素和碳成分分析认为：全年中大部分月份大气PM2.5和PM10质量超过国家规定的二级标准；NH4+、NO3-、SO42-为各月水溶性离子的主要成分，各离子呈现不同的季节特点；K、Al、Fe、S、Si等无机元素也表现为季节分布特征；大气PM2.5和PM10在全年大部分月份OC/EC值均大于2，表明哈尔滨市二次有机碳污染严重，且秋冬季二次污染最为严重。雾霾天发生期间，大气PM2.5平均浓度为753.45μg/m3，大气PM10平均浓度为884.51μg/m3，且浓度表现为夜间浓度大于日间；大气PM2.5和PM10中水溶性离子均表现为夜间浓度大于日间浓度，夜间离子浓度与昼间比值在PM2.5中为1.38-1.74。春节期间，由于烟花爆竹燃放，与烟花爆竹成分有关的物质（NO3-、SO42-、NH4+、K+、Cl-、Mg、Fe、Sr等）浓度均有所增加。

	采用富集因子法（EF法）和因子分析法（FA法）对大气PM2.5和PM10的主要来源进行分析，不同季节污染来源有所变化，燃煤、燃油、汽车尾气、建材等污染源类均对大气颗粒物污染。",《哈尔滨工业大学》,2014年,【学位授予单位】：哈尔滨工业大学【学位级别】：硕士【学位授予年份】：2014【分类号】：X513,1752.0,27.0
